id,original,source,no_of_#,no_of_@,no_of_urls,no_of_media,created_at,text,user_id,verified,no_of_tweets,description,geo_enabled,screen_name,followers,friends,rt,fav,tweet_geo,target_value
553587303172833280,True,Twitter Web Client,1,0,1,0,Fri Jan 09 16:21:12 +0000 2015,b'Police taking people out of #Paris grocery where hostages were being held. http://t.co/7Bxdhozq4H',428333,True,37206,True,False,cnnbrk,22720010,113,676,318,False,0
553588374280601600,True,Twitter Web Client,1,0,0,1,Fri Jan 09 16:25:28 +0000 2015,b'Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/dbIE1GD3Cw',868112707,False,4658,True,False,AFPphoto,37216,242,876,221,False,0
553471987411324929,True,Hootsuite,1,0,0,0,Fri Jan 09 08:42:59 +0000 2015,"b'BREAKING: Gunfire, hostages taken in Dammartin-en-Go\\xeble, east of Paris, as police chase suspected #CharlieHedbo attackers'",14173315,True,45190,True,False,NBCNews,2005537,2892,202,43,False,0
552808282398924800,True,Twitter for iPhone,1,0,0,0,Wed Jan 07 12:45:39 +0000 2015,b'Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims',152797988,False,34732,True,True,MurtazaGeoNews,78555,692,130,124,False,0
553474188259102720,True,Hootsuite,1,0,1,1,Fri Jan 09 08:51:44 +0000 2015,"b'BREAKING: Shots fired, hostages taken in manhunt for #CharlieHebdo attackers, police say http://t.co/omBy6Wsgb7 http://t.co/ZbszAHyIzJ'",14173315,True,45186,True,False,NBCNews,2005324,2892,306,78,False,0
553590653784195072,True,TweetDeck,1,0,0,0,Fri Jan 09 16:34:31 +0000 2015,"b""#BREAKING Paris supermarket hostage-taker 'neutralised': security source""",380648579,True,64719,True,False,AFP,316094,483,631,134,False,0
553530667821457408,True,Twitter Web Client,1,0,1,0,Fri Jan 09 12:36:09 +0000 2015,b'DETAILS: Armed man takes hostage in kosher grocery store in #Vincennes eastern Paris - Reports http://t.co/cI8cztQjE6',64643056,True,105138,True,False,RT_com,843460,460,116,14,False,0
552804408233193473,True,TweetDeck,1,0,1,1,Wed Jan 07 12:30:16 +0000 2015,b'12 people now known to have died after gunmen stormed the Paris HQ of magazine #CharlieHebdo http://t.co/ImgE2AACPw http://t.co/h2wgFokYVW',7587032,True,122235,True,False,SkyNews,1783919,17,560,368,False,0
553531316797718528,True,TweetDeck,0,0,0,0,Fri Jan 09 12:38:44 +0000 2015,b'BREAKING NEWS: Hostage situation at supermarket in eastern Paris after shots ring out - AFP',292777349,False,22922,True,True,PzFeed,213232,2267,115,30,False,0
553139203320860672,True,Twitter for iPhone,1,0,0,0,Thu Jan 08 10:40:37 +0000 2015,b'French media reporting owner of petrol station saw 2 men wearing masks in car with guns &amp; rocket launcher #CharlieHebdo',108352527,True,16890,True,False,bbclysedoucet,74687,2067,188,58,False,0
552984916070531072,True,Twitter for Android,2,0,0,1,Thu Jan 08 00:27:32 +0000 2015,"b'R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/vEHq0PAZwE'",39609732,False,270143,True,False,JeffersonObama,20517,5007,6807,3512,False,0
552799062421164032,True,Twitter Web Client,0,0,0,0,Wed Jan 07 12:09:01 +0000 2015,"b'Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest.'",392317014,False,3233,True,False,peterallenparis,2228,570,387,44,False,0
